A_YEAR, Q46 (Happiness),"Q260 (Gender, 1 Male, 2 Female)",Q262 (Age),"Q288 (Income Scale, 1 - Low, 10 - High)"
2017,2,2,48,6
2017,2,1,40,5
2017,1,2,54,6
2017,3,2,35,4
2017,1,2,42,-2
2017,2,1,18,5
2017,2,2,36,3
2017,1,1,20,5
2017,1,2,34,-2
2017,2,2,70,5
2017,1,2,48,6
2017,2,1,55,5
2017,2,1,24,4
2017,1,2,40,7
2017,1,2,24,7
2017,2,2,92,4
2017,2,1,19,4
2017,2,1,35,5
2017,2,2,53,8
2017,2,2,67,8
2017,2,2,93,4
2017,2,1,26,1
2017,3,2,50,6
2017,2,2,20,5
2017,2,2,50,5
2017,3,1,59,5
2017,2,1,30,6
2017,2,2,66,4
2017,2,2,47,7
2017,2,2,82,6
2017,1,1,18,7
2017,2,2,40,5
2017,2,1,47,8
2017,-1,2,49,4
2017,2,1,57,5
2017,2,2,21,8
2017,2,2,60,5
2017,2,2,30,5
2017,2,1,45,6
2017,1,1,62,-2
2017,2,2,24,6
2017,1,2,24,6
2017,2,2,49,7
2017,2,1,63,8
2017,2,1,19,6
2017,2,2,69,7
2017,2,2,37,6
2017,2,2,29,6
2017,2,1,60,5
2017,1,2,59,6
2017,2,2,56,6
2017,2,1,27,6
2017,1,2,33,7
2017,3,2,44,5
2017,2,2,22,4
2017,2,1,47,4
2017,-1,2,67,6
2017,2,1,40,5
2017,2,2,18,5
2017,2,1,62,6
2017,2,1,60,8
2017,2,2,65,5
2017,2,1,21,5
2017,2,1,65,7
2017,2,2,25,8
2017,2,2,75,4
2017,2,1,26,6
2017,2,2,70,8
2017,2,2,34,6
2017,2,1,67,5
2017,3,2,37,7
2017,2,1,28,5
2017,2,1,36,7
2017,2,1,48,5
2017,2,1,24,7
2017,2,1,45,7
2017,2,2,40,-2
2017,2,1,60,6
2017,1,2,23,8
2017,2,2,63,9
2017,2,2,34,2
2017,2,2,49,8
2017,1,1,31,9
2017,2,1,25,6
2017,1,1,28,-2
2017,2,2,45,7
2017,1,1,73,6
2017,1,1,42,6
2017,2,1,42,-2
2017,2,2,35,6
2017,2,1,45,5
2017,4,2,85,5
2017,3,2,34,-2
2017,2,1,84,7
2017,1,1,18,5
2017,2,1,66,7
2017,2,2,19,5
2017,2,2,46,5
2017,2,2,65,8
2017,3,1,39,8
2017,2,1,50,8
2017,1,2,40,8
2017,1,2,36,9
2017,2,1,33,4
2017,2,2,28,5
2017,2,2,44,5
2017,2,1,61,5
2017,2,2,62,4
2017,2,1,40,6
2017,2,2,35,5
2017,2,1,74,5
2017,2,2,50,5
2017,3,2,70,3
2017,2,2,58,7
2017,2,2,29,4
2017,1,1,56,-2
2017,2,2,49,8
2017,2,1,48,6
2017,1,1,63,4
2017,1,1,21,8
2017,2,2,45,7
2017,2,2,19,7
2017,2,2,24,5
2017,2,2,31,5
2017,2,2,60,3
2017,3,1,20,-2
2017,2,1,30,-2
2017,2,1,80,5
2017,1,1,65,8
2017,2,1,30,7
2017,2,1,69,6
2017,2,1,66,6
2017,2,2,66,6
2017,2,2,25,7
2017,2,1,28,7
2017,3,1,65,6
2017,2,1,56,5
2017,2,2,51,7
2017,1,2,25,7
2017,2,1,65,-2
2017,2,1,31,4
2017,1,1,40,6
2017,2,2,64,6
2017,1,1,20,5
2017,1,2,20,6
2017,2,1,46,4
2017,1,2,39,5
2017,2,2,70,4
2017,2,2,44,5
2017,-1,1,21,6
2017,2,2,34,5
2017,3,1,47,5
2017,1,2,50,7
2017,2,1,51,4
2017,2,2,42,4
2017,2,2,44,4
2017,2,1,24,5
2017,1,2,65,7
2017,2,2,18,6
2017,2,1,48,4
2017,3,2,66,2
