,Code,Year,Population (England),Annual CO₂ emissions (per capita),Total CO2 emissions,Relative per capita CO2 emissions,Relative total CO2 emissions
196,GBR,1991-01-01,47875000,10.624451,508645591.625,1055.3601507003038,8581.074594900992
197,GBR,1992-01-01,47998000,10.326097,495632003.80600005,1025.723709024208,8361.529651111403
198,GBR,1993-01-01,48102000,10.054433,483638336.16599995,998.7384690358218,8159.1912088249155
199,GBR,1994-01-01,48229000,9.933512,479083350.248,986.7270055933503,8082.346595238059
200,GBR,1995-01-01,48383000,9.773094,472851607.00200003,970.7921808522846,7977.214348875014
201,GBR,1996-01-01,48519000,10.102876,490181440.644,1003.5504646655608,8269.576255962695
202,GBR,1997-01-01,48665000,9.660194,470113341.01000005,959.5774685801807,7931.0185985826265
203,GBR,1998-01-01,48821000,9.728953,474977214.41300005,966.4075164200176,8013.0742797455305
204,GBR,1999-01-01,49033000,9.57871,469672887.42999995,951.483406447496,7923.587953182756
205,GBR,2000-01-01,49233000,9.669214,476044412.862,960.4734535641877,8031.078386434383
206,GBR,2001-01-01,49450000,9.780857,483663378.65,971.5633040707817,8159.613686531956
207,GBR,2002-01-01,49679000,9.439251,468932550.429,937.6305051299115,7911.098142722295
208,GBR,2003-01-01,49926000,9.5829115,478436439.54899997,951.9007546637162,8071.432927537481
209,GBR,2004-01-01,50195000,9.557823,479754925.485,949.4086350105836,8093.676364530612
210,GBR,2005-01-01,50606000,9.4452305,477985334.68299997,938.2244676811164,8063.822590263345
211,GBR,2006-01-01,50965000,9.338998,475962033.07,927.6720591652063,8029.68860315128
212,GBR,2007-01-01,51381000,9.134187,469323662.24700004,907.3275380388837,7917.696370919817
213,GBR,2008-01-01,51816000,8.825938,457324803.40800005,876.7081948753436,7715.270350825544
214,GBR,2009-01-01,52196000,7.938317,414348394.13199997,788.538007792288,6990.239445435847
215,GBR,2010-01-01,52642000,8.156536,429376368.1119999,810.2143877507131,7243.76796874542
216,GBR,2011-01-01,53107000,7.422031,394161800.317,737.2536947708945,6649.682739164045
217,GBR,2012-01-01,53494000,7.6396565,408675784.811,758.8711205067024,6894.54003403287
218,GBR,2013-01-01,53866000,7.4275928,400094713.7648,737.8061658666873,6749.773595546022
219,GBR,2014-01-01,54317000,6.774484,367969647.42800003,672.9308135692655,6207.80961288074
220,GBR,2015-01-01,54786000,6.4770393,354851075.0898,643.3846955235418,5986.493534129207
221,GBR,2016-01-01,55219000,6.0837545,335938839.73550004,604.3184787565636,5667.43581495562
